Database,Table,Column,Source,Type,Null,References,Default,Primary
gis250k,AerialCableways,objectid,auto,bigint,no,,nextval('object_id'),yes
gis250k,AerialCableways,featuretype,data,int,no,ga_FeatureType,,
gis250k,AerialCableways,name,data,text,,,,
gis250k,AerialCableways,featrel,data,date,no,,,
gis250k,AerialCableways,attrrel,data,date,no,,,
gis250k,AerialCableways,planacc,data,smallint,no,,,
gis250k,AerialCableways,source,implicit=GA,int,no,ga_Source,,
gis250k,AerialCableways,created,data,timestamp,,,now(),
gis250k,AerialCableways,retired,data,timestamp,,,,
gis250k,AerialCableways,ga_pid,data,int,,,,
gis250k,AerialCableways,symbol,data,smallint,no,,,
gis250k,AerialCableways,textnote,data,text,,,,
gis250k,AerialCableways,shape_length,data,float,no,,,
gis250k,AerialCableways,shape,data,lines,,,,
gis250k,AerialCableways,shape,index,,,,,
gis250k,AircraftFacilityPoints,objectid,auto,bigint,no,,nextval('object_id'),yes
gis250k,AircraftFacilityPoints,featuretype,data,int,no,ga_FeatureType,,
gis250k,AircraftFacilityPoints,type,data,int,no,,,
gis250k,AircraftFacilityPoints,name,data,text,,,,
gis250k,AircraftFacilityPoints,featrel,data,date,no,,,
gis250k,AircraftFacilityPoints,attrrel,data,date,no,,,
gis250k,AircraftFacilityPoints,planacc,data,smallint,no,,,
gis250k,AircraftFacilityPoints,source,implicit=GA,int,no,ga_Source,,
gis250k,AircraftFacilityPoints,created,data,timestamp,,,now(),
gis250k,AircraftFacilityPoints,retired,data,timestamp,,,,
gis250k,AircraftFacilityPoints,ga_pid,data,int,,,,
gis250k,AircraftFacilityPoints,symbol,data,smallint,no,,,
gis250k,AircraftFacilityPoints,featurewidth,data,float,,,0,
gis250k,AircraftFacilityPoints,orientation,data,smallint,,,0,
gis250k,AircraftFacilityPoints,position,data,lines,,,,
gis250k,AircraftFacilityPoints,position,index,,,,,
gis250k,Annotations,objectid,auto,bigint,no,,nextval('object_id'),yes
gis250k,Annotations,featuretype,data,int,no,ga_FeatureType,,
gis250k,Annotations,zorder,data,int,,,,
gis250k,Annotations,annotationclassid,data,int,,,,
gis250k,Annotations,element,data,bytea,,,,
