Abminga,SG5310,"(135,-26),(133.5,-27)"
Adavale,SG5505,"(145.5,-25),(144,-26)"
Adelaide SP,SI5409,"(139.5,-34),(138,-35)"
Ajana,SG5013,"(115.5,-27),(114,-28)"
Alberga,SG5309,"(133.5,-26),(132,-27)"
Alcoota,SF5310,"(135,-22),(133.5,-23)"
Alice Springs,SF5314,"(135,-23),(133.5,-24)"
Alligator River,SD5301,"(133.5,-12),(132,-13)"
Alroy,SE5315,"(136.5,-19),(135,-20)"
Ana Branch,SI5407,"(142.5,-33),(141,-34)"
Andamooka,SH5312,"(138,-30),(136.5,-31)"
Angledool,SH5507,"(148.5,-29),(147,-30)"
Anketell,SF5102,"(123,-20),(121.5,-21)"
Armidale SP,SH5610,"(153,-30),(151.5,-31)"
Ashton,SD5213,"(127.5,-15),(126,-15)"
Atherton,SE5505,"(145.5,-17),(144,-18)"
Augathella,SG5506,"(147,-25),(145.5,-26)"
Auvergne,SD5215,"(130.5,-15),(129,-15)"
Avon Downs,SF5304,"(138,-20),(136.5,-21)"
Ayr,SE5515,"(148.5,-19),(147,-20)"
Bairnsdale SP,SJ5507,"(148.5,-37),(147,-38)"
Balfour Downs,SF5109,"(121.5,-22),(120,-23)"
Balladonia,SI5103,"(124.5,-32),(123,-33)"
Ballarat,SJ5408,"(144,-37),(142.5,-38)"
Balranald,SI5412,"(144,-34),(142.5,-35)"
Baralaba,SG5504,"(150,-24),(148.5,-25)"
Barker,SI5413,"(139.5,-35),(138,-36)"
Barlee,SH5008,"(120,-29),(118.5,-30)"
Barnato,SH5513,"(145.5,-31),(144,-32)"
Barrolka,SG5411,"(142.5,-26),(141,-27)"
Barrow Creek,SF5306,"(135,-21),(133.5,-22)"
Barton,SH5309,"(133.5,-30),(132,-31)"
Bathurst,SI5508,"(150,-33),(148.5,-34)"
Bauhinia Downs,SE5303,"(136.5,-15),(135,-17)"
Bedourie,SG5401,"(139.5,-24),(138,-25)"
Beetaloo,SE5306,"(135,-17),(133.5,-18)"
Bega,SJ5504,"(150,-36),(148.5,-37)"
Belele,SG5011,"(118.5,-26),(117,-27)"
Bencubbin,SH5011,"(118.5,-30),(117,-31)"
Bendigo,SJ5501,"(145.5,-36),(144,-37)"
Bentley,SG5205,"(127.5,-25),(126,-26)"
Betoota,SG5406,"(141,-25),(139.5,-26)"
Billa Kalina,SH5307,"(136.5,-29),(135,-30)"
Billiluna,SE5214,"(129,-19),(127.5,-20)"
Birdsville,SG5405,"(139.5,-25),(138,-26)"
Birksgate,SG5215,"(130.5,-27),(129,-28)"
Birrindudu,SE5211,"(130.5,-18),(129,-19)"
Blackall,SG5501,"(145.5,-24),(144,-25)"
Bloods Range,SG5203,"(130.5,-24),(129,-25)"
Blue Mud Bay,SD5307,"(136.5,-13),(135,-14)"
Boigu,SC5407,"(142.5,-9),(141,-10)"
Bonney Well,SF5302,"(135,-20),(133.5,-21)"
Booligal,SI5505,"(145.5,-33),(144,-34)"
Boorabbin,SH5113,"(121.5,-31),(120,-32)"
Boulia,SF5410,"(141,-22),(139.5,-23)"
Bourke,SH5510,"(147,-30),(145.5,-31)"
Bowen,SF5503,"(148.5,-20),(147,-21)"
Bremer Bay,SI5012,"(120,-34),(118.5,-35)"
Brighton Downs,SF5415,"(142.5,-23),(141,-24)"
Brisbane SP,SG5615,"(154.5,-27),(153,-28)"
Broken Hill,SH5415,"(142.5,-31),(141,-32)"
Broome,SE5106,"(123,-17),(121.5,-18)"
Browne,SG5108,"(126,-25),(124.5,-26)"
Brunette Downs,SE5311,"(136.5,-18),(135,-19)"
Buchanan,SF5506,"(147,-21),(145.5,-22)"
Bullen,SG5101,"(121.5,-24),(120,-25)"
Bulloo,SH5404,"(144,-28),(142.5,-29)"
Bundaberg,SG5602,"(153,-24),(151.5,-25)"
Burketown,SE5406,"(141,-17),(139.5,-18)"
Burra,SI5405,"(139.5,-33),(138,-34)"
Busselton SP,SI5005,"(115.5,-33),(114,-34)"
Byro,SG5010,"(117,-26),(115.5,-27)"
Cairns,SE5502,"(147,-15),(145.5,-17)"
Callabonna,SH5406,"(141,-29),(139.5,-30)"
Calvert Hills,SE5308,"(138,-17),(136.5,-18)"
Cambridge Gulf,SD5214,"(129,-15),(127.5,-15)"
Camden Sound SP,SD5115,"(124.5,-15),(123,-15)"
Camooweal,SE5413,"(139.5,-19),(138,-20)"
Canberra,SI5516,"(150,-35),(148.5,-36)"
Canterbury,SG5407,"(142.5,-25),(141,-26)"
Cape Melville,SD5509,"(145.5,-14),(144,-15)"
Cape Scott SP,SD5207,"(130.5,-13),(129,-14)"
Cape Weymouth,SD5404,"(144,-12),(142.5,-13)"
Cape York,SC5412,"(144,-10),(142.5,-11)"
Cargelligo,SI5506,"(147,-33),(145.5,-34)"
Carnarvon SP,SG4904,"(114,-24),(112.5,-25)"
Charleville,SG5510,"(147,-26),(145.5,-27)"
Charnley,SE5104,"(126,-15),(124.5,-17)"
Charters Towers,SF5502,"(147,-20),(145.5,-21)"
Childara,SH5314,"(135,-31),(133.5,-32)"
Chinchilla,SG5609,"(151.5,-26),(150,-27)"
Chowilla,SI5406,"(141,-33),(139.5,-34)"
Cirrigin,SI5003,"(118.5,-32),(117,-33)"
Clarke River,SE5513,"(145.5,-19),(144,-20)"
Clermont,SF5511,"(148.5,-22),(147,-23)"
Cloncurry,SF5402,"(141,-20),(139.5,-21)"
Cobar,SH5514,"(147,-31),(145.5,-32)"
Cobb,SG5201,"(127.5,-24),(126,-25)"
Cobham Lake,SH5411,"(142.5,-30),(141,-31)"
Cobourg Peninsula SP,SC5313,"(133.5,-11),(132,-12)"
Coen,SD5408,"(144,-13),(142.5,-14)"
Colac,SJ5412,"(144,-38),(142.5,-39)"
Collie,SI5006,"(117,-33),(115.5,-34)"
Collier,SG5004,"(120,-24),(118.5,-25)"
Connemara,SG5403,"(142.5,-24),(141,-25)"
Coober Pedy,SH5306,"(135,-29),(133.5,-30)"
Cook,SH5211,"(130.5,-30),(129,-31)"
Cooktown,SD5513,"(145.5,-15),(144,-15)"
Coompana,SH5215,"(130.5,-31),(129,-32)"
Cooper,SG5210,"(129,-26),(127.5,-27)"
Cootamundra,SI5511,"(148.5,-34),(147,-35)"
Copley,SH5409,"(139.5,-30),(138,-31)"
